line,flight,departure,arrival,departure_date,price
Аэрофлот,АЭ1841,Санкт-Петербург,Воркута,2026-08-21,17097
ЮТэйр,ЮТ4175,Иркутск,Москва,2026-12-22,10469
Нордвинд,НО6390,Воркута,Москва,2026-03-09,13151
Россия,РО5699,Санкт-Петербург,Воркута,2026-09-18,7717
Red Wings,RE8443,Иркутск,Москва,2026-01-13,18576
Победа,ПО3624,Москва,Санкт-Петербург,2026-09-19,6635
Уральские авиалинии,УР7825,Иркутск,Волгоград,2026-02-14,15258
Аэрофлот,АЭ1267,Москва,Волгоград,2026-05-17,8232
Аэрофлот,АЭ1112,Москва,Волгоград,2026-06-05,17007
Red Wings,RE8888,Москва,Волгоград,2026-03-30,3111
Аэрофлот,АЭ1260,Иркутск,Воркута,2026-09-22,5274
Аэрофлот,АЭ1041,Волгоград,Москва,2026-07-03,16324
Россия,РО5298,Волгоград,Москва,2026-12-17,15265
Аэрофлот,АЭ1837,Иркутск,Воркута,2026-07-25,15280
Red Wings,RE8207,Санкт-Петербург,Иркутск,2026-03-16,7826
S7 Airlines,S72384,Санкт-Петербург,Воркута,2026-10-10,5536
Нордвинд,НО6763,Волгоград,Иркутск,2026-04-02,5792
ЮТэйр,ЮТ4960,Санкт-Петербург,Воркута,2026-04-27,14268
Россия,РО5919,Москва,Санкт-Петербург,2026-02-21,3314
ЮТэйр,ЮТ4887,Волгоград,Иркутск,2026-06-15,10736
Уральские авиалинии,УР7008,Волгоград,Санкт-Петербург,2026-04-14,4255
Россия,РО5488,Москва,Санкт-Петербург,2026-01-12,12706
Нордвинд,НО6518,Волгоград,Иркутск,2026-03-15,3361
Победа,ПО3138,Москва,Волгоград,2026-01-25,12377
Россия,РО5974,Москва,Волгоград,2026-12-11,11668
Россия,РО5516,Волгоград,Санкт-Петербург,2026-02-27,15451
Red Wings,RE8019,Воркута,Москва,2026-11-02,12422
ЮТэйр,ЮТ4266,Иркутск,Воркута,2026-08-25,14869
Победа,ПО3693,Волгоград,Санкт-Петербург,2026-01-06,11407
Уральские авиалинии,УР7263,Иркутск,Волгоград,2026-04-17,4583
Аэрофлот,АЭ1283,Волгоград,Москва,2026-05-24,5541
Аэрофлот,АЭ1930,Москва,Волгоград,2026-07-14,16104
Победа,ПО3611,Иркутск,Москва,2026-03-07,9699
Аэрофлот,АЭ1677,Москва,Иркутск,2026-02-13,16539
ЮТэйр,ЮТ4624,Москва,Волгоград,2026-02-28,13662
Уральские авиалинии,УР7160,Санкт-Петербург,Воркута,2026-05-03,7884
Уральские авиалинии,УР7494,Санкт-Петербург,Иркутск,2026-12-13,16345
Победа,ПО3119,Санкт-Петербург,Воркута,2026-12-11,15985
Red Wings,RE8924,Москва,Волгоград,2026-01-11,11970
Аэрофлот,АЭ1854,Иркутск,Воркута,2026-08-21,2519
Аэрофлот,АЭ1721,Москва,Воркута,2026-06-22,9279
Уральские авиалинии,УР7170,Волгоград,Москва,2026-11-28,7888
ЮТэйр,ЮТ4299,Воркута,Иркутск,2026-09-13,8476
Россия,РО5484,Волгоград,Иркутск,2026-01-11,10880
Победа,ПО3544,Москва,Волгоград,2026-02-23,6438
ЮТэйр,ЮТ4448,Москва,Воркута,2026-10-21,7172
Аэрофлот,АЭ1768,Волгоград,Москва,2026-08-25,3753
Red Wings,RE8372,Воркута,Москва,2026-10-21,2916
Red Wings,RE8527,Воркута,Москва,2026-04-29,11786
Аэрофлот,АЭ1135,Волгоград,Санкт-Петербург,2026-05-29,8393
Red Wings,RE8107,Москва,Волгоград,2026-08-28,18660
Уральские авиалинии,УР7917,Волгоград,Иркутск,2026-04-16,11540
S7 Airlines,S72319,Волгоград,Москва,2026-07-25,18343
ЮТэйр,ЮТ4721,Иркутск,Воркута,2026-07-01,10220
Уральские авиалинии,УР7003,Волгоград,Иркутск,2026-02-15,19328
S7 Airlines,S72872,Волгоград,Москва,2026-10-26,2700
S7 Airlines,S72480,Волгоград,Санкт-Петербург,2026-06-06,3198
Аэрофлот,АЭ1425,Санкт-Петербург,Воркута,2026-10-26,18012
Red Wings,RE8020,Москва,Волгоград,2026-01-08,16965
Россия,РО5356,Москва,Санкт-Петербург,2026-11-17,7663
Red Wings,RE8788,Иркутск,Воркута,2026-09-29,16535
Нордвинд,НО6515,Волгоград,Воркута,2026-06-30,3550
S7 Airlines,S72760,Волгоград,Санкт-Петербург,2026-06-03,11342
Red Wings,RE8561,Волгоград,Иркутск,2026-01-22,16380
Аэрофлот,АЭ1414,Волгоград,Санкт-Петербург,2026-11-20,18609
Аэрофлот,АЭ1580,Санкт-Петербург,Воркута,2026-03-22,7527
Нордвинд,НО6258,Волгоград,Санкт-Петербург,2026-03-19,19065
Победа,ПО3595,Воркута,Москва,2026-08-21,18807
Победа,ПО3186,Санкт-Петербург,Воркута,2026-09-26,3485
S7 Airlines,S72417,Санкт-Петербург,Москва,2026-12-17,18079
Россия,РО5332,Санкт-Петербург,Воркута,2026-12-02,14695
S7 Airlines,S72409,Волгоград,Иркутск,2026-06-16,10251
ЮТэйр,ЮТ4953,Волгоград,Воркута,2026-01-10,12456
Победа,ПО3117,Москва,Волгоград,2026-02-05,15898
Уральские авиалинии,УР7340,Москва,Воркута,2026-07-11,5954
Аэрофлот,АЭ1361,Москва,Волгоград,2026-04-17,17740
Нордвинд,НО6906,Иркутск,Санкт-Петербург,2026-06-16,8034
ЮТэйр,ЮТ4737,Иркутск,Санкт-Петербург,2026-09-17,18439
Уральские авиалинии,УР7002,Москва,Волгоград,2026-01-21,5011
Red Wings,RE8764,Санкт-Петербург,Воркута,2026-02-24,16810
Победа,ПО3946,Москва,Воркута,2026-08-24,2663
ЮТэйр,ЮТ4708,Москва,Волгоград,2026-01-18,10977
Red Wings,RE8924,Москва,Воркута,2026-03-07,8907
Уральские авиалинии,УР7129,Иркутск,Воркута,2026-10-03,15104
Red Wings,RE8674,Санкт-Петербург,Волгоград,2026-07-11,18702
Россия,РО5337,Москва,Воркута,2026-05-02,16919
Аэрофлот,АЭ1277,Иркутск,Санкт-Петербург,2026-11-01,8327
Победа,ПО3302,Москва,Воркута,2026-01-14,19063
S7 Airlines,S72251,Москва,Волгоград,2026-01-12,10063
Уральские авиалинии,УР7662,Волгоград,Москва,2026-06-11,15222
Аэрофлот,АЭ1962,Москва,Волгоград,2026-06-17,17040
Россия,РО5862,Волгоград,Санкт-Петербург,2026-10-13,7196
Нордвинд,НО6399,Санкт-Петербург,Иркутск,2026-10-22,7217
ЮТэйр,ЮТ4606,Санкт-Петербург,Воркута,2026-10-08,13626
Нордвинд,НО6281,Волгоград,Москва,2026-08-09,9940
S7 Airlines,S72316,Иркутск,Воркута,2026-05-03,15246
Нордвинд,НО6932,Волгоград,Москва,2026-11-07,18842
Россия,РО5618,Волгоград,Москва,2026-12-22,9231
Россия,РО5045,Воркута,Волгоград,2026-05-20,17691
Уральские авиалинии,УР7127,Волгоград,Москва,2026-04-12,2840
Победа,ПО3174,Волгоград,Санкт-Петербург,2026-12-22,8183
Нордвинд,НО6962,Москва,Волгоград,2026-08-02,6445
Нордвинд,НО6025,Москва,Воркута,2026-05-03,6889
Аэрофлот,АЭ1612,Воркута,Иркутск,2026-06-23,5913
Нордвинд,НО6008,Иркутск,Санкт-Петербург,2026-02-16,12490
Уральские авиалинии,УР7685,Москва,Воркута,2026-07-03,12286
ЮТэйр,ЮТ4270,Иркутск,Волгоград,2026-12-13,12804
S7 Airlines,S72529,Санкт-Петербург,Волгоград,2026-08-07,19110
ЮТэйр,ЮТ4574,Воркута,Волгоград,2026-05-26,3816
Нордвинд,НО6346,Москва,Воркута,2026-12-16,15336
Аэрофлот,АЭ1182,Москва,Волгоград,2026-07-07,16065
Red Wings,RE8168,Волгоград,Воркута,2026-10-24,9979
ЮТэйр,ЮТ4858,Волгоград,Иркутск,2026-03-11,10780
Red Wings,RE8464,Санкт-Петербург,Иркутск,2026-09-15,10188
Red Wings,RE8617,Волгоград,Санкт-Петербург,2026-05-02,12347
Аэрофлот,АЭ1235,Москва,Воркута,2026-12-26,8329
Уральские авиалинии,УР7271,Москва,Волгоград,2026-08-10,3104
Red Wings,RE8103,Иркутск,Волгоград,2026-06-03,17565
Россия,РО5787,Санкт-Петербург,Волгоград,2026-10-13,16325
Победа,ПО3138,Иркутск,Воркута,2026-03-16,6693
Аэрофлот,АЭ1386,Санкт-Петербург,Воркута,2026-06-21,9190
Победа,ПО3981,Москва,Иркутск,2026-10-23,12609
Победа,ПО3496,Волгоград,Москва,2026-06-25,3158
ЮТэйр,ЮТ4270,Иркутск,Воркута,2026-05-10,18660
Уральские авиалинии,УР7626,Волгоград,Иркутск,2026-02-18,16835
Россия,РО5793,Воркута,Москва,2026-06-10,13350
Уральские авиалинии,УР7021,Иркутск,Воркута,2026-06-15,5773
Победа,ПО3324,Иркутск,Воркута,2026-07-05,14527
Red Wings,RE8498,Санкт-Петербург,Москва,2026-03-05,8411
Аэрофлот,АЭ1126,Москва,Волгоград,2026-02-16,4473
S7 Airlines,S72205,Волгоград,Санкт-Петербург,2026-09-05,2580
Уральские авиалинии,УР7504,Волгоград,Москва,2026-03-31,15612
Победа,ПО3110,Иркутск,Воркута,2026-08-20,18824
Нордвинд,НО6270,Воркута,Москва,2026-05-10,8308
ЮТэйр,ЮТ4298,Воркута,Москва,2026-04-18,3049
ЮТэйр,ЮТ4170,Москва,Воркута,2026-12-28,5229
Аэрофлот,АЭ1044,Санкт-Петербург,Воркута,2026-07-01,10169
Red Wings,RE8079,Иркутск,Волгоград,2026-01-29,12401
Россия,РО5117,Воркута,Санкт-Петербург,2026-11-20,16497
Red Wings,RE8514,Москва,Иркутск,2026-10-31,12057
Победа,ПО3046,Волгоград,Москва,2026-09-18,2854
Уральские авиалинии,УР7467,Волгоград,Москва,2026-07-10,15237
Россия,РО5538,Санкт-Петербург,Воркута,2026-07-04,8195
Победа,ПО3209,Иркутск,Воркута,2026-10-04,9159
Уральские авиалинии,УР7474,Волгоград,Москва,2026-02-22,9025
Аэрофлот,АЭ1047,Волгоград,Москва,2026-01-10,9614
ЮТэйр,ЮТ4322,Москва,Волгоград,2026-04-25,3582
Уральские авиалинии,УР7690,Москва,Воркута,2026-10-08,5290
Аэрофлот,АЭ1832,Воркута,Москва,2026-06-27,9965
Red Wings,RE8972,Москва,Воркута,2026-10-20,15781
Уральские авиалинии,УР7947,Иркутск,Волгоград,2026-11-05,4727
Уральские авиалинии,УР7353,Иркутск,Волгоград,2026-12-09,4574
Победа,ПО3497,Москва,Иркутск,2026-01-26,7538
Уральские авиалинии,УР7451,Иркутск,Воркута,2026-02-08,4541
Red Wings,RE8800,Москва,Волгоград,2026-06-26,14399
Россия,РО5527,Санкт-Петербург,Воркута,2026-07-25,3735
S7 Airlines,S72587,Санкт-Петербург,Иркутск,2026-06-02,16943
Россия,РО5467,Волгоград,Москва,2026-11-26,8833
S7 Airlines,S72174,Москва,Санкт-Петербург,2026-05-07,11172
Уральские авиалинии,УР7104,Москва,Санкт-Петербург,2026-12-02,5511
Нордвинд,НО6426,Москва,Волгоград,2026-05-19,13612
Россия,РО5020,Санкт-Петербург,Волгоград,2026-10-12,2938
Победа,ПО3271,Волгоград,Москва,2026-08-24,12859
Уральские авиалинии,УР7763,Иркутск,Москва,2026-06-20,3789
ЮТэйр,ЮТ4852,Москва,Воркута,2026-06-11,12283
Аэрофлот,АЭ1936,Воркута,Волгоград,2026-03-26,11323
Уральские авиалинии,УР7665,Иркутск,Воркута,2026-03-29,18573
S7 Airlines,S72190,Москва,Волгоград,2026-02-17,4433
Уральские авиалинии,УР7007,Воркута,Волгоград,2026-02-19,17410
Уральские авиалинии,УР7273,Санкт-Петербург,Воркута,2026-02-08,2972
Уральские авиалинии,УР7312,Иркутск,Санкт-Петербург,2026-09-11,9301
Победа,ПО3544,Волгоград,Воркута,2026-04-13,17771
Нордвинд,НО6570,Волгоград,Иркутск,2026-10-06,14371
ЮТэйр,ЮТ4782,Москва,Иркутск,2026-11-22,8939
Аэрофлот,АЭ1957,Москва,Воркута,2026-05-14,17894
Аэрофлот,АЭ1371,Волгоград,Санкт-Петербург,2026-06-23,17849
ЮТэйр,ЮТ4564,Санкт-Петербург,Иркутск,2026-06-13,8418
ЮТэйр,ЮТ4087,Волгоград,Санкт-Петербург,2026-06-18,17338
ЮТэйр,ЮТ4057,Иркутск,Воркута,2026-08-03,7882
Red Wings,RE8576,Волгоград,Москва,2026-05-20,18546
ЮТэйр,ЮТ4079,Москва,Воркута,2026-06-09,2580
Аэрофлот,АЭ1765,Волгоград,Москва,2026-01-20,10307
S7 Airlines,S72419,Санкт-Петербург,Иркутск,2026-08-07,17014
Уральские авиалинии,УР7292,Москва,Санкт-Петербург,2026-01-11,13547
Red Wings,RE8046,Москва,Иркутск,2026-06-02,18519
Уральские авиалинии,УР7327,Волгоград,Иркутск,2026-11-10,12207
S7 Airlines,S72250,Москва,Воркута,2026-09-10,3306
Россия,РО5058,Санкт-Петербург,Воркута,2026-06-16,9958
Нордвинд,НО6447,Москва,Воркута,2026-08-23,13733
Аэрофлот,АЭ1795,Санкт-Петербург,Волгоград,2026-02-03,9668
Аэрофлот,АЭ1258,Санкт-Петербург,Волгоград,2026-07-24,13679
Аэрофлот,АЭ1919,Иркутск,Москва,2026-04-08,6221
Нордвинд,НО6122,Воркута,Санкт-Петербург,2026-10-31,11072
Аэрофлот,АЭ1200,Москва,Волгоград,2026-11-13,16062
ЮТэйр,ЮТ4284,Волгоград,Москва,2026-08-05,4114
Победа,ПО3641,Москва,Волгоград,2026-09-28,3555
Нордвинд,НО6567,Москва,Волгоград,2026-05-02,12071
Red Wings,RE8367,Волгоград,Иркутск,2026-06-27,3129
Нордвинд,НО6815,Волгоград,Санкт-Петербург,2026-12-07,3713
Россия,РО5943,Москва,Волгоград,2026-12-19,3780
Россия,РО5923,Волгоград,Иркутск,2026-10-23,4901
Победа,ПО3174,Санкт-Петербург,Воркута,2026-01-04,17956
S7 Airlines,S72072,Москва,Волгоград,2026-01-26,8902
Россия,РО5664,Волгоград,Санкт-Петербург,2026-08-21,7468
Аэрофлот,АЭ1225,Москва,Волгоград,2026-02-27,17270
Аэрофлот,АЭ1150,Иркутск,Воркута,2026-05-01,10789
Россия,РО5454,Иркутск,Москва,2026-10-14,16345
Уральские авиалинии,УР7889,Москва,Воркута,2026-01-25,7511
Победа,ПО3630,Воркута,Волгоград,2026-01-13,17526
Россия,РО5461,Москва,Воркута,2026-03-13,19375
Аэрофлот,АЭ1774,Москва,Волгоград,2026-04-29,14988
Аэрофлот,АЭ1641,Волгоград,Москва,2026-04-17,7231
Уральские авиалинии,УР7655,Воркута,Иркутск,2026-06-27,6542
Россия,РО5074,Волгоград,Москва,2026-08-17,14117
S7 Airlines,S72938,Москва,Волгоград,2026-10-31,18320
Аэрофлот,АЭ1404,Санкт-Петербург,Воркута,2026-04-24,13085
Red Wings,RE8518,Волгоград,Санкт-Петербург,2026-11-18,6615
Россия,РО5404,Волгоград,Воркута,2026-08-06,16174
Аэрофлот,АЭ1470,Санкт-Петербург,Москва,2026-05-02,12274
ЮТэйр,ЮТ4540,Москва,Воркута,2026-09-18,7988
ЮТэйр,ЮТ4711,Волгоград,Иркутск,2026-01-22,14931
Нордвинд,НО6800,Волгоград,Санкт-Петербург,2026-04-21,11798
Уральские авиалинии,УР7449,Иркутск,Москва,2026-06-10,4792
Победа,ПО3257,Иркутск,Волгоград,2026-03-02,3530
Red Wings,RE8503,Иркутск,Воркута,2026-09-04,10153
Red Wings,RE8674,Санкт-Петербург,Воркута,2026-08-30,17947
S7 Airlines,S72392,Волгоград,Воркута,2026-01-18,12258
Россия,РО5497,Иркутск,Воркута,2026-06-14,15046
Победа,ПО3742,Волгоград,Москва,2026-06-11,17253
ЮТэйр,ЮТ4696,Волгоград,Иркутск,2026-12-25,8177
Red Wings,RE8251,Москва,Волгоград,2026-03-16,13762
Россия,РО5909,Санкт-Петербург,Москва,2026-05-16,6103
Победа,ПО3277,Москва,Волгоград,2026-07-13,6411
S7 Airlines,S72133,Волгоград,Иркутск,2026-05-17,15581
Red Wings,RE8414,Москва,Иркутск,2026-02-05,2992
Red Wings,RE8931,Воркута,Иркутск,2026-07-15,2780
Россия,РО5175,Москва,Воркута,2026-11-17,4046
ЮТэйр,ЮТ4696,Москва,Волгоград,2026-12-21,7151
ЮТэйр,ЮТ4488,Санкт-Петербург,Воркута,2026-03-18,16141
Аэрофлот,АЭ1403,Москва,Иркутск,2026-08-10,7935
Уральские авиалинии,УР7137,Санкт-Петербург,Иркутск,2026-04-03,13925
Нордвинд,НО6403,Волгоград,Санкт-Петербург,2026-04-10,15440
Red Wings,RE8940,Иркутск,Санкт-Петербург,2026-09-10,7003
Нордвинд,НО6611,Воркута,Санкт-Петербург,2026-05-30,4868
Нордвинд,НО6592,Волгоград,Санкт-Петербург,2026-10-14,5022
Уральские авиалинии,УР7368,Москва,Волгоград,2026-09-02,2748
ЮТэйр,ЮТ4983,Волгоград,Москва,2026-08-15,17409
Аэрофлот,АЭ1389,Волгоград,Иркутск,2026-10-22,19035
Red Wings,RE8394,Москва,Воркута,2026-12-26,6543
Red Wings,RE8599,Иркутск,Воркута,2026-01-22,13236
Нордвинд,НО6495,Москва,Волгоград,2026-01-19,5553
Red Wings,RE8883,Волгоград,Москва,2026-01-02,5525
Red Wings,RE8958,Волгоград,Москва,2026-10-08,12700
S7 Airlines,S72154,Москва,Волгоград,2026-07-07,18715
ЮТэйр,ЮТ4786,Волгоград,Воркута,2026-03-13,5678
Нордвинд,НО6698,Волгоград,Москва,2026-03-15,15408
Россия,РО5027,Иркутск,Воркута,2026-02-27,15436
Победа,ПО3928,Москва,Воркута,2026-03-28,8903
ЮТэйр,ЮТ4326,Москва,Воркута,2026-11-09,13763
Победа,ПО3004,Москва,Воркута,2026-01-28,3310
ЮТэйр,ЮТ4383,Воркута,Волгоград,2026-06-30,3675
Победа,ПО3638,Москва,Воркута,2026-10-27,10046
Россия,РО5067,Москва,Иркутск,2026-12-08,3280
Уральские авиалинии,УР7689,Санкт-Петербург,Иркутск,2026-11-27,10868
Уральские авиалинии,УР7623,Воркута,Санкт-Петербург,2026-11-28,11408
Аэрофлот,АЭ1388,Москва,Волгоград,2026-02-03,19473
Победа,ПО3630,Москва,Санкт-Петербург,2026-05-16,11090
Россия,РО5874,Волгоград,Иркутск,2026-01-09,12672
Уральские авиалинии,УР7203,Волгоград,Санкт-Петербург,2026-05-28,16443
S7 Airlines,S72463,Волгоград,Санкт-Петербург,2026-03-31,14222
S7 Airlines,S72455,Москва,Волгоград,2026-11-09,15378
Россия,РО5034,Волгоград,Иркутск,2026-10-01,8519
Аэрофлот,АЭ9999,Санкт-Петербург,Москва,2026-07-15,4500
Россия,РО8888,Москва,Воркута,2026-07-16,7200
